age,gender,height,weight,activity_level,food_pref,bmi,category
56,Female,178,59,3,Veg,18.62,Normal
38,Male,168,119,3,Veg,42.16,Obese
53,Female,173,47,2,Veg,15.7,Underweight
19,Female,193,74,2,Non-Veg,19.87,Normal
38,Male,161,102,2,Veg,39.35,Obese
61,Male,198,103,3,Non-Veg,26.27,Overweight
45,Female,165,59,2,Non-Veg,21.67,Normal
64,Female,193,99,4,Veg,26.58,Overweight
20,Male,156,65,1,Vegan,26.71,Overweight
35,Female,174,104,2,Non-Veg,34.35,Obese
26,Female,151,104,3,Veg,45.61,Obese
25,Male,184,80,2,Non-Veg,23.63,Normal
23,Female,191,48,2,Veg,13.16,Underweight
35,Female,193,78,2,Non-Veg,20.94,Normal
53,Female,180,92,3,Non-Veg,28.4,Overweight
40,Female,189,97,4,Non-Veg,27.15,Overweight
42,Female,194,85,1,Vegan,22.58,Normal
62,Male,174,115,1,Veg,37.98,Obese
61,Female,173,107,3,Vegan,35.75,Obese
34,Female,184,79,1,Vegan,23.33,Normal
22,Female,188,85,4,Vegan,24.05,Normal
26,Female,161,78,1,Vegan,30.09,Obese
40,Female,173,81,3,Non-Veg,27.06,Overweight
44,Male,150,91,2,Vegan,40.44,Obese
18,Male,175,58,3,Vegan,18.94,Normal
26,Male,164,86,4,Veg,31.98,Obese
68,Male,181,96,1,Non-Veg,29.3,Overweight
54,Male,188,59,3,Veg,16.69,Underweight
53,Male,181,115,3,Vegan,35.1,Obese
39,Female,151,86,1,Non-Veg,37.72,Obese
23,Female,177,88,4,Non-Veg,28.09,Overweight
28,Female,177,106,1,Veg,33.83,Obese
44,Female,162,47,3,Non-Veg,17.91,Underweight
25,Male,158,106,1,Veg,42.46,Obese
68,Female,193,68,3,Vegan,18.26,Underweight
49,Female,173,96,1,Non-Veg,32.08,Obese
66,Female,161,83,2,Vegan,32.02,Obese
66,Male,198,100,1,Vegan,25.51,Overweight
66,Female,151,98,3,Veg,42.98,Obese
49,Male,150,63,2,Non-Veg,28.0,Overweight
61,Female,181,114,4,Vegan,34.8,Obese
21,Male,160,100,3,Veg,39.06,Obese
55,Female,154,114,2,Vegan,48.07,Obese
65,Female,182,117,4,Vegan,35.32,Obese
23,Female,178,47,4,Vegan,14.83,Underweight
53,Male,175,111,3,Vegan,36.24,Obese
37,Female,156,96,1,Veg,39.45,Obese
57,Female,188,45,3,Veg,12.73,Underweight
42,Female,172,75,2,Non-Veg,25.35,Overweight
52,Male,165,104,1,Non-Veg,38.2,Obese
18,Female,161,113,1,Vegan,43.59,Obese
26,Male,184,63,4,Vegan,18.61,Normal
37,Female,182,68,4,Vegan,20.53,Normal
66,Female,185,82,4,Non-Veg,23.96,Normal
52,Female,174,69,1,Non-Veg,22.79,Normal
63,Female,151,98,3,Veg,42.98,Obese
58,Female,182,112,1,Non-Veg,33.81,Obese
38,Female,169,52,3,Vegan,18.21,Underweight
34,Female,182,92,4,Vegan,27.77,Overweight
68,Female,171,74,2,Non-Veg,25.31,Overweight
62,Male,157,71,3,Non-Veg,28.8,Overweight
38,Female,182,72,3,Veg,21.74,Normal
22,Female,197,63,4,Vegan,16.23,Underweight
66,Female,166,88,4,Non-Veg,31.93,Obese
46,Female,155,81,4,Veg,33.71,Obese
66,Female,180,104,1,Vegan,32.1,Obese
38,Female,172,77,4,Vegan,26.03,Overweight
35,Male,191,98,2,Vegan,26.86,Overweight
57,Female,173,76,3,Non-Veg,25.39,Overweight
40,Female,176,46,2,Veg,14.85,Underweight
57,Male,158,87,2,Vegan,34.85,Obese
46,Female,175,94,1,Veg,30.69,Obese
24,Male,185,89,4,Veg,26.0,Overweight
25,Female,195,60,2,Vegan,15.78,Underweight
40,Male,177,110,4,Vegan,35.11,Obese
39,Male,174,102,3,Non-Veg,33.69,Obese
39,Female,171,93,4,Non-Veg,31.8,Obese
23,Male,192,104,1,Veg,28.21,Overweight
25,Male,193,49,3,Non-Veg,13.15,Underweight
62,Female,179,91,3,Vegan,28.4,Overweight
57,Female,165,57,2,Non-Veg,20.94,Normal
47,Male,166,107,3,Non-Veg,38.83,Obese
43,Male,175,106,3,Vegan,34.61,Obese
26,Female,150,102,2,Veg,45.33,Obese
64,Female,181,92,1,Veg,28.08,Overweight
18,Female,188,108,3,Veg,30.56,Obese
39,Male,152,70,4,Vegan,30.3,Obese
54,Female,178,113,3,Veg,35.66,Obese
47,Female,154,60,2,Non-Veg,25.3,Overweight
65,Male,188,77,2,Non-Veg,21.79,Normal
54,Male,159,113,4,Non-Veg,44.7,Obese
69,Male,159,63,2,Veg,24.92,Normal
22,Male,153,60,4,Vegan,25.63,Overweight
19,Male,177,76,3,Non-Veg,24.26,Normal
52,Female,182,77,1,Vegan,23.25,Normal
60,Male,161,111,1,Veg,42.82,Obese
57,Female,192,88,1,Veg,23.87,Normal
29,Male,195,46,1,Vegan,12.1,Underweight
67,Male,172,52,1,Non-Veg,17.58,Underweight
27,Female,183,51,4,Non-Veg,15.23,Underweight
67,Male,160,73,4,Veg,28.52,Overweight
38,Male,185,54,1,Veg,15.78,Underweight
41,Female,184,93,3,Non-Veg,27.47,Overweight
66,Male,181,68,3,Non-Veg,20.76,Normal
49,Male,161,99,1,Vegan,38.19,Obese
42,Male,190,74,1,Veg,20.5,Normal
37,Female,174,57,3,Vegan,18.83,Normal
66,Female,161,105,1,Vegan,40.51,Obese
29,Male,156,72,2,Vegan,29.59,Overweight
69,Male,196,60,1,Veg,15.62,Underweight
52,Female,174,96,3,Veg,31.71,Obese
53,Male,172,60,1,Vegan,20.28,Normal
62,Male,191,102,3,Non-Veg,27.96,Overweight
48,Female,154,79,3,Veg,33.31,Obese
60,Male,167,53,2,Non-Veg,19.0,Normal
61,Male,187,51,2,Veg,14.58,Underweight
57,Female,158,94,3,Non-Veg,37.65,Obese
19,Male,178,81,2,Vegan,25.56,Overweight
25,Female,194,109,2,Veg,28.96,Overweight
24,Male,194,48,4,Non-Veg,12.75,Underweight
